ip,port,protocols,anonymity,country,city,latency_ms,uptime_pct,alive,uptime_24h,uptime_7d,reliability
3.127.27.51,1095,https|socks4|socks5,elite,DE,Frankfurt am Main,31,11.9,true,6.3,10.1,reviving
63.181.83.210,34909,https|socks4|socks5,elite,DE,Frankfurt am Main,32,13.9,true,12.5,12.8,reviving
63.181.83.210,30803,https|socks4|socks5,elite,DE,Frankfurt am Main,34,9.5,true,16.7,9.5,reviving
63.179.134.206,47059,socks4,elite,DE,Frankfurt am Main,34,10.8,true,11.8,10.9,reviving
3.127.27.51,45177,https|socks4|socks5,elite,DE,Frankfurt am Main,35,11.9,true,5.9,15.4,reviving
63.179.134.206,8081,https|socks4|socks5,elite,DE,Frankfurt am Main,35,14.9,true,23.5,14.6,reviving
3.121.130.230,22736,https|socks4|socks5,elite,DE,Frankfurt am Main,37,13.6,true,17.6,9.6,reviving
51.44.97.6,28544,socks4|socks5,elite,FR,Paris,37,5.3,true,100.0,100.0,stable
138.124.10.104,443,http|https|socks4|socks5,elite,DE,Frankfurt am Main,38,59.9,true,65.0,64.0,reviving
52.47.115.41,51576,https|socks4|socks5,elite,FR,Paris,38,9.6,true,5.9,11.0,reviving
63.179.134.206,59568,https|socks4|socks5,elite,DE,Frankfurt am Main,38,11.2,true,23.5,13.8,reviving
3.127.27.51,49381,socks4,elite,DE,Frankfurt am Main,38,14.0,true,12.5,12.9,reviving
3.127.27.51,48342,https|socks4|socks5,elite,DE,Frankfurt am Main,39,11.9,true,17.6,10.4,reviving
3.121.130.230,25470,socks4,elite,DE,Frankfurt am Main,41,14.7,true,12.5,11.6,reviving
13.38.27.183,1337,https|socks4,elite,FR,Paris,41,10.5,true,5.9,9.6,reviving
3.127.27.51,9564,socks4,elite,DE,Frankfurt am Main,41,12.5,true,17.6,11.9,reviving
63.181.83.210,32003,https|socks4|socks5,elite,DE,Frankfurt am Main,43,8.1,true,11.8,7.9,reviving
63.181.83.210,30347,https|socks4|socks5,elite,DE,Frankfurt am Main,43,10.8,true,11.8,11.1,reviving
52.47.115.41,24331,https|socks4|socks5,elite,FR,Paris,44,14.1,true,22.2,7.6,reviving
3.121.130.230,50165,https|socks4|socks5,elite,DE,Frankfurt am Main,48,12.7,true,17.6,9.5,reviving
13.38.27.183,8636,https|socks4|socks5,elite,FR,Paris,48,12.8,true,5.9,9.8,reviving
212.193.4.164,3128,http,transparent,CZ,,49,36.3,true,52.6,48.1,reviving
63.181.83.210,39955,socks4,elite,DE,Frankfurt am Main,49,8.9,true,6.7,8.1,reviving
63.179.134.206,47692,https|socks4,elite,DE,Frankfurt am Main,51,11.5,true,12.5,9.5,reviving
3.121.130.230,12327,socks4,elite,DE,Frankfurt am Main,53,13.5,true,12.5,10.5,reviving
52.47.115.41,52134,https|socks4|socks5,elite,FR,Paris,54,11.4,true,11.8,8.8,reviving
13.38.27.183,19121,socks4,elite,FR,Paris,54,12.6,true,5.9,9.5,reviving
13.38.27.183,9002,socks4,elite,FR,Paris,54,9.9,true,11.1,9.9,reviving
13.38.27.183,51715,https|socks4|socks5,elite,FR,Paris,55,13.3,true,16.7,8.8,reviving
3.121.130.230,18080,socks4|socks5,elite,DE,Frankfurt am Main,55,10.0,true,12.5,8.0,reviving
13.38.27.183,27546,https|socks4|socks5,elite,FR,Paris,56,14.5,true,23.5,10.4,reviving
15.161.59.54,59873,socks4,elite,IT,Milan,57,15.0,true,11.1,12.3,reviving
15.237.108.20,8103,https|socks4|socks5,elite,FR,Paris,57,11.1,true,23.5,11.6,reviving
13.38.217.179,10836,socks4|socks5,elite,FR,Paris,57,6.0,true,5.6,2.9,reviving
63.179.134.206,2452,https|socks4|socks5,elite,DE,Frankfurt am Main,58,12.7,true,5.9,12.7,reviving
13.38.217.179,22311,https|socks4|socks5,elite,FR,Paris,58,9.8,true,6.3,4.9,reviving
3.127.27.51,10088,https|socks4,elite,DE,Frankfurt am Main,60,7.2,true,11.1,6.7,reviving
51.44.97.6,43005,https|socks4|socks5,elite,FR,Paris,61,13.6,true,17.6,14.1,reviving
52.47.115.41,3630,socks4,elite,FR,Paris,62,11.2,true,11.8,10.4,reviving
51.34.28.236,13307,https|socks4|socks5,elite,CH,Zurich,63,14.1,true,11.8,11.2,reviving
51.34.28.236,25908,https|socks4,elite,CH,Zurich,63,12.9,true,5.9,11.8,reviving
31.76.15.189,3128,http|https,elite,GB,,63,67.3,true,70.0,61.7,reviving
3.127.27.51,13792,https|socks4,elite,DE,Frankfurt am Main,63,13.1,true,16.7,13.7,reviving
63.179.134.206,31746,https|socks4|socks5,elite,DE,Frankfurt am Main,64,11.4,true,11.1,12.3,reviving
18.170.25.193,53231,https|socks4|socks5,elite,GB,City of London,65,12.5,true,23.5,9.1,reviving
63.181.83.210,20805,https|socks4|socks5,elite,DE,Frankfurt am Main,66,13.6,true,5.9,8.1,reviving
13.38.27.183,8081,https|socks4|socks5,elite,FR,Paris,66,16.5,true,12.5,10.6,reviving
3.127.27.51,48781,https|socks4,elite,DE,Frankfurt am Main,66,12.2,true,6.3,11.0,reviving
15.160.132.166,10033,socks4,elite,IT,Milan,67,13.0,true,6.3,11.8,reviving
15.161.131.175,50688,socks4|socks5,elite,IT,Milan,67,14.9,true,11.8,12.3,reviving
15.160.132.166,11605,https|socks4|socks5,elite,IT,Milan,67,13.9,true,5.9,9.9,reviving
18.170.25.193,19096,https|socks4|socks5,elite,GB,City of London,68,12.7,true,16.7,8.2,reviving
3.121.130.230,23783,socks4,elite,DE,Frankfurt am Main,69,14.5,true,17.6,8.8,reviving
13.38.27.183,50144,https|socks4,elite,FR,Paris,69,15.2,true,5.9,10.3,reviving
15.161.131.175,3128,https|socks4,elite,IT,Milan,69,13.9,true,11.8,11.2,reviving
15.161.131.175,8282,https|socks4|socks5,elite,IT,Milan,70,14.3,true,11.8,14.1,reviving
18.170.25.193,41442,https|socks4|socks5,elite,GB,City of London,70,13.3,true,11.8,8.5,reviving
13.38.27.183,8185,socks4|socks5,elite,FR,Paris,70,12.3,true,11.8,12.4,reviving
13.38.27.183,56018,socks4|socks5,elite,FR,Paris,71,11.8,true,6.3,11.6,reviving
63.179.134.206,20237,https|socks4|socks5,elite,DE,Frankfurt am Main,73,12.3,true,17.6,12.0,reviving
51.44.97.6,44960,socks4|socks5,elite,FR,Paris,73,12.1,true,23.5,14.6,reviving
15.160.132.166,564,socks4,elite,IT,Milan,74,12.1,true,6.3,8.5,reviving
18.170.25.193,27048,https|socks4|socks5,elite,GB,City of London,75,15.1,true,11.1,8.5,reviving
52.47.115.41,19170,socks4|socks5,elite,FR,Paris,75,12.5,true,11.8,10.1,reviving
3.127.27.51,22581,socks4,elite,DE,Frankfurt am Main,75,11.9,true,17.6,11.0,reviving
51.34.28.236,58755,socks4,elite,CH,Zurich,76,14.5,true,11.1,13.2,reviving
16.18.37.186,48293,https|socks4|socks5,elite,CH,Zurich,76,14.6,true,23.5,14.3,reviving
15.161.131.175,17738,https|socks4,elite,IT,Milan,76,9.1,true,6.3,9.1,reviving
15.160.116.45,8008,socks4,elite,IT,Milan,77,12.5,true,12.5,11.9,reviving
63.179.134.206,1080,https|socks4|socks5,elite,DE,Frankfurt am Main,77,12.8,true,11.1,14.6,reviving
15.161.131.175,48678,https|socks4|socks5,elite,IT,Milan,78,13.9,true,17.6,13.8,reviving
15.161.59.54,50,https|socks4,elite,IT,Milan,78,10.0,true,11.8,10.0,reviving
52.47.115.41,12363,https|socks4|socks5,elite,FR,Paris,78,11.6,true,17.6,9.1,reviving
16.18.37.186,8888,socks4,elite,CH,Zurich,78,12.1,true,11.8,12.8,reviving
13.38.27.183,1085,https|socks4|socks5,elite,FR,Paris,78,6.3,true,18.8,6.0,reviving
15.161.59.54,443,socks4|socks5,elite,IT,Milan,78,13.8,true,12.5,9.6,reviving
15.161.131.175,1083,https|socks4|socks5,elite,IT,Milan,78,12.2,true,17.6,11.9,reviving
16.18.37.186,3129,https|socks4|socks5,elite,CH,Zurich,79,12.6,true,18.8,12.0,reviving
3.121.130.230,3450,https|socks4|socks5,elite,DE,Frankfurt am Main,79,13.9,true,29.4,8.5,reviving
51.34.28.236,46169,https|socks4|socks5,elite,CH,Zurich,80,8.9,true,17.6,9.2,reviving
15.237.108.20,9382,https|socks4|socks5,elite,FR,Paris,81,14.0,true,17.6,9.6,reviving
3.121.130.230,31251,https|socks4,elite,DE,Frankfurt am Main,81,7.1,true,5.9,7.1,reviving
15.161.131.175,46295,https|socks4,elite,IT,Milan,83,14.9,true,17.6,13.3,reviving
34.246.183.20,3473,https|socks4|socks5,elite,IE,Dublin,83,11.1,true,23.5,11.5,reviving
18.170.25.193,1452,socks4|socks5,elite,GB,City of London,84,6.5,true,5.9,5.4,reviving
34.246.183.20,32730,https|socks4,elite,IE,Dublin,84,20.7,true,23.5,20.0,reviving
15.161.131.175,13018,https|socks4,elite,IT,Milan,85,14.3,true,12.5,9.1,reviving
18.170.25.193,9080,https|socks4|socks5,elite,GB,City of London,85,9.2,true,17.6,6.8,reviving
18.170.25.193,30222,socks4,elite,GB,City of London,85,13.4,true,5.9,7.3,reviving
16.62.123.236,15995,https|socks4|socks5,elite,CH,Zurich,85,13.5,true,22.2,12.0,reviving
16.18.37.186,42347,socks4|socks5,elite,CH,Zurich,85,12.7,true,29.4,12.8,reviving
13.38.27.183,8451,https|socks4|socks5,elite,FR,Paris,86,15.0,true,17.6,12.3,reviving
158.255.212.55,11857,http,transparent,AT,Vienna,86,5.1,true,18.8,4.8,reviving
3.127.27.51,8999,socks4,elite,DE,Frankfurt am Main,86,12.3,true,5.9,9.3,reviving
63.181.83.210,47296,socks4,elite,DE,Frankfurt am Main,87,13.0,true,22.2,9.9,reviving
15.161.131.175,17057,https|socks4|socks5,elite,IT,Milan,88,10.9,true,22.2,9.9,reviving
13.41.196.179,49035,socks4|socks5,elite,GB,City of London,89,9.6,true,5.9,8.5,reviving
13.38.27.183,19390,https|socks4|socks5,elite,FR,Paris,89,11.7,true,5.6,9.7,reviving
108.131.109.106,46178,socks4|socks5,elite,IE,Dublin,89,14.8,true,11.8,10.7,reviving
13.38.27.183,44332,socks4,elite,FR,Paris,90,16.2,true,5.9,11.3,reviving
15.160.116.45,8880,socks4|socks5,elite,IT,Milan,90,11.2,true,16.7,11.3,reviving
79.110.192.44,8081,http,elite,PL,Wroclaw,90,91.1,true,85.7,92.9,flaky
34.246.183.20,9662,socks4|socks5,elite,IE,Dublin,91,3.7,true,100.0,100.0,stable
108.131.109.106,2325,https|socks4|socks5,elite,IE,Dublin,91,14.6,true,17.6,9.9,reviving
51.34.28.236,19558,https|socks4|socks5,elite,CH,Zurich,93,11.2,true,11.8,12.4,reviving
15.160.132.166,27042,https|socks4|socks5,elite,IT,Milan,93,9.1,true,11.8,9.0,reviving
13.38.27.183,39947,socks4,elite,FR,Paris,93,13.6,true,17.6,10.8,reviving
160.238.65.2,3128,http,transparent,HK,,94,28.7,true,52.6,41.1,reviving
15.237.108.20,5291,https|socks4|socks5,elite,FR,Paris,95,13.0,true,6.3,12.1,reviving
34.246.183.20,7434,socks4,elite,IE,Dublin,95,13.5,true,16.7,11.9,reviving
15.160.132.166,38666,socks4|socks5,elite,IT,Milan,97,9.1,true,17.6,8.4,reviving
86.53.111.249,8080,http|https,elite,DE,Frankfurt am Main,97,64.4,true,38.9,64.4,reviving
15.161.131.175,32748,https|socks4|socks5,elite,IT,Milan,97,13.4,true,16.7,11.0,reviving
34.246.183.20,292,https|socks4|socks5,elite,IE,Dublin,98,13.7,true,12.5,11.5,reviving
34.246.183.20,10000,https|socks4|socks5,elite,IE,Dublin,99,9.2,true,5.9,9.2,reviving
3.121.130.230,8081,https|socks4|socks5,elite,DE,Frankfurt am Main,99,15.0,true,17.6,8.2,reviving
51.49.153.183,22050,https|socks4|socks5,elite,ES,Zaragoza,99,11.8,true,17.6,12.1,reviving
15.161.59.54,9697,socks4,elite,IT,Milan,100,12.7,true,22.2,11.3,reviving
160.238.65.3,3128,http,transparent,HK,,100,29.6,true,44.4,27.9,reviving
34.246.183.20,6147,socks4,elite,IE,Dublin,100,13.0,true,16.7,9.6,reviving
51.34.28.236,8385,socks4,elite,CH,Zurich,101,13.7,true,5.9,11.0,reviving
51.34.28.236,47933,https|socks4|socks5,elite,CH,Zurich,101,13.9,true,27.8,11.3,reviving
108.131.109.106,47792,https|socks4|socks5,elite,IE,Dublin,101,10.6,true,6.3,8.2,reviving
34.246.183.20,58177,https|socks4|socks5,elite,IE,Dublin,102,12.5,true,12.5,10.2,reviving
15.161.59.54,36800,https|socks4,elite,IT,Milan,104,12.4,true,5.9,10.7,reviving
52.47.115.41,15028,https|socks4|socks5,elite,FR,Paris,105,10.5,true,11.8,10.6,reviving
34.246.183.20,47281,https|socks4|socks5,elite,IE,Dublin,106,14.8,true,11.8,13.4,reviving
15.161.59.54,3375,https|socks4|socks5,elite,IT,Milan,106,13.0,true,11.8,8.7,reviving
52.47.115.41,6382,https|socks4|socks5,elite,FR,Paris,107,10.7,true,11.8,10.7,reviving
13.60.163.108,8866,https|socks4|socks5,elite,SE,Stockholm,107,2.6,true,100.0,100.0,stable
51.49.153.183,55911,https|socks4,elite,ES,Zaragoza,108,12.6,true,11.8,7.6,reviving
16.62.123.236,4153,https|socks4|socks5,elite,CH,Zurich,109,15.3,true,22.2,9.2,reviving
79.110.202.131,8081,http,elite,PL,Wroclaw,109,68.6,true,81.0,94.0,flaky
13.60.163.108,39198,socks4,elite,SE,Stockholm,110,13.2,true,17.6,12.0,reviving
91.172.54.203,80,http,elite,FR,Saint-Julien-en-Genevois,110,63.3,true,60.0,72.9,reviving
15.161.131.175,11809,https|socks4|socks5,elite,IT,Milan,111,12.1,true,23.5,12.7,reviving
15.161.59.54,51586,https|socks4|socks5,elite,IT,Milan,111,15.9,true,11.8,10.6,reviving
63.179.134.206,2048,https|socks4|socks5,elite,DE,Frankfurt am Main,112,11.5,true,6.3,10.8,reviving
13.60.163.108,39200,socks4,elite,SE,Stockholm,113,14.1,true,11.8,10.0,reviving
16.62.123.236,19695,https|socks4|socks5,elite,CH,Zurich,113,15.0,true,6.3,8.2,reviving
81.168.119.85,443,http|socks5,elite,GB,,113,89.1,true,100.0,93.5,flaky
13.53.139.178,20386,https|socks4|socks5,elite,SE,Stockholm,114,11.8,true,5.9,6.5,reviving
13.51.196.44,33140,socks4,elite,SE,Stockholm,117,14.1,true,11.8,8.2,reviving
51.92.173.133,18666,https|socks4|socks5,elite,ES,Zaragoza,118,11.4,true,12.5,14.2,reviving
145.239.41.4,5060,http|https,anonymous,FR,,118,89.6,true,81.8,89.6,flaky
34.246.183.20,14984,https|socks4|socks5,elite,IE,Dublin,118,5.8,true,6.3,5.8,reviving
15.161.131.175,5678,socks4,elite,IT,Milan,119,9.8,true,12.5,9.1,reviving
15.160.132.166,9002,https|socks4|socks5,elite,IT,Milan,120,13.1,true,15.8,11.2,reviving
34.246.183.20,53730,https|socks4,elite,IE,Dublin,120,13.0,true,23.5,12.9,reviving
16.62.123.236,30768,socks4,elite,CH,Zurich,120,14.0,true,17.6,11.2,reviving
13.51.196.44,55568,https|socks4|socks5,elite,SE,Stockholm,121,11.2,true,17.6,10.1,reviving
185.49.31.205,8080,http,elite,PL,Wroclaw,122,87.0,true,81.0,80.7,flaky
51.92.173.133,33366,https|socks4|socks5,elite,ES,Zaragoza,122,11.4,true,17.6,15.0,reviving
63.181.83.210,5487,https|socks4|socks5,elite,DE,Frankfurt am Main,122,12.6,true,12.5,12.4,reviving
13.48.13.125,8540,https|socks4|socks5,elite,SE,Stockholm,123,14.9,true,27.8,8.7,reviving
13.51.196.44,8091,https|socks4|socks5,elite,SE,Stockholm,123,10.6,true,16.7,10.1,reviving
13.60.163.108,11017,https|socks4|socks5,elite,SE,Stockholm,124,14.7,true,11.8,8.5,reviving
13.53.139.178,44300,https|socks4|socks5,elite,SE,Stockholm,124,10.2,true,11.8,9.0,reviving
13.53.139.178,41481,socks4|socks5,elite,SE,Stockholm,124,15.7,true,17.6,8.8,reviving
134.209.18.113,3129,http|https,elite,GB,Slough,125,78.6,true,95.5,78.6,flaky
13.60.181.61,41420,socks4,elite,SE,Stockholm,125,10.9,true,18.8,10.3,reviving
13.48.13.125,44538,https|socks4|socks5,elite,SE,Stockholm,125,15.8,true,12.5,6.8,reviving
51.49.153.183,40967,https|socks4|socks5,elite,ES,Zaragoza,126,11.9,true,11.8,8.2,reviving
13.60.163.108,4089,https|socks4|socks5,elite,SE,Stockholm,128,11.7,true,12.5,7.4,reviving
13.48.13.125,8123,https|socks4|socks5,elite,SE,Stockholm,130,7.8,true,5.9,8.3,reviving
13.60.163.108,44097,socks4|socks5,elite,SE,Stockholm,130,10.3,true,5.9,10.6,reviving
15.160.132.166,39193,https|socks4|socks5,elite,IT,Milan,131,12.6,true,11.8,8.7,reviving
13.60.181.61,49207,https|socks4|socks5,elite,SE,Stockholm,131,13.2,true,11.8,9.3,reviving
51.49.153.183,8322,https|socks4|socks5,elite,ES,Zaragoza,132,10.7,true,21.1,9.5,reviving
13.60.163.108,1703,https|socks4|socks5,elite,SE,Stockholm,132,11.4,true,16.7,6.6,reviving
63.179.134.206,55288,https|socks4,elite,DE,Frankfurt am Main,133,11.7,true,18.8,10.1,reviving
13.51.196.44,15624,https|socks4|socks5,elite,SE,Stockholm,133,12.2,true,11.8,8.2,reviving
13.60.181.61,15515,https|socks4|socks5,elite,SE,Stockholm,135,12.5,true,11.8,10.1,reviving
63.181.83.210,26289,https|socks4|socks5,elite,DE,Frankfurt am Main,135,12.6,true,17.6,11.2,reviving
13.60.181.61,8090,socks4,elite,SE,Stockholm,135,14.9,true,11.8,8.5,reviving
63.179.134.206,40,socks4|socks5,elite,DE,Frankfurt am Main,136,12.3,true,5.9,12.2,reviving
13.51.196.44,27258,https|socks4|socks5,elite,SE,Stockholm,136,10.9,true,5.9,9.1,reviving
51.92.173.133,1337,https|socks4|socks5,elite,ES,Zaragoza,137,11.5,true,11.8,13.3,reviving
13.51.196.44,45366,https|socks4|socks5,elite,SE,Stockholm,137,13.9,true,16.7,10.9,reviving
13.53.139.178,43644,https|socks4,elite,SE,Stockholm,137,15.3,true,11.8,8.8,reviving
13.53.139.178,18485,https|socks4|socks5,elite,SE,Stockholm,138,14.2,true,11.8,6.5,reviving
204.76.203.9,8080,http,,NL,Eygelshoven,139,98.9,true,100.0,99.6,stable
13.53.139.178,3129,https|socks4|socks5,elite,SE,Stockholm,139,14.1,true,17.6,8.8,reviving
63.179.134.206,3128,socks4|socks5,elite,DE,Frankfurt am Main,139,11.7,true,16.7,17.1,reviving
51.92.173.133,9179,https|socks4|socks5,elite,ES,Zaragoza,140,11.6,true,17.6,12.5,reviving
51.49.153.183,41793,https|socks4|socks5,elite,ES,Zaragoza,142,11.4,true,17.6,11.5,reviving
15.160.132.166,1645,https|socks4|socks5,elite,IT,Milan,142,13.9,true,16.7,11.5,reviving
13.38.27.183,32513,https|socks4|socks5,elite,FR,Paris,142,13.5,true,5.9,10.9,reviving
51.34.28.236,15796,https|socks4|socks5,elite,CH,Zurich,144,16.0,true,11.8,9.7,reviving
13.60.163.108,9156,https|socks4|socks5,elite,SE,Stockholm,144,13.6,true,11.8,9.6,reviving
13.53.139.178,13438,socks4|socks5,elite,SE,Stockholm,146,13.7,true,5.9,9.8,reviving
13.51.196.44,33731,socks4,elite,SE,Stockholm,146,14.4,true,5.9,7.1,reviving
