ip,port,protocols,anonymity,country,city,latency_ms,uptime_pct,alive,uptime_24h,uptime_7d,reliability
103.237.102.191,11111,http|https,elite,DE,Frankfurt am Main,16,99.0,true,100.0,98.3,stable
63.180.203.233,7086,https|socks4|socks5,elite,DE,Frankfurt am Main,17,80.1,true,61.5,80.1,reviving
18.185.116.137,4153,https|socks4|socks5,elite,DE,Frankfurt am Main,18,86.6,true,92.9,86.6,flaky
3.123.254.15,49016,https|socks4|socks5,elite,DE,Frankfurt am Main,18,70.8,true,84.6,70.8,flaky
51.102.184.122,7577,https|socks4,elite,DE,Frankfurt am Main,19,69.2,true,53.8,69.2,flaky
3.122.224.70,9361,https|socks4|socks5,elite,DE,Frankfurt am Main,20,61.5,true,50.0,61.5,reviving
3.127.27.51,40786,https|socks4|socks5,elite,DE,Frankfurt am Main,20,14.2,true,9.1,17.5,reviving
63.180.203.233,9002,socks4,elite,DE,Frankfurt am Main,20,75.0,true,61.5,75.0,reviving
18.185.116.137,3537,socks4|socks5,elite,DE,Frankfurt am Main,21,79.6,true,84.6,79.6,reviving
3.127.27.51,8091,socks4,elite,DE,Frankfurt am Main,21,12.8,true,25.0,19.0,reviving
3.123.254.15,3128,https|socks4|socks5,elite,DE,Frankfurt am Main,22,83.9,true,25.0,80.6,reviving
3.127.27.51,41448,https|socks4,elite,DE,Frankfurt am Main,22,14.7,true,16.7,16.8,reviving
3.122.224.70,15299,https|socks4|socks5,elite,DE,Frankfurt am Main,23,79.9,true,69.2,80.1,reviving
3.122.224.70,22218,socks4,elite,DE,Frankfurt am Main,24,58.4,true,76.9,58.4,reviving
51.102.184.122,791,https|socks4|socks5,elite,DE,Frankfurt am Main,25,75.0,true,75.0,75.0,new
63.179.134.206,12512,https|socks4,elite,DE,Frankfurt am Main,25,13.5,true,16.7,17.1,reviving
15.188.238.238,41065,http|socks4|socks5,anonymous,FR,Paris,26,81.0,true,69.2,81.0,reviving
63.181.83.210,5505,https|socks4|socks5,elite,DE,Frankfurt am Main,26,11.0,true,41.7,12.9,unstable
18.157.159.247,23628,socks5,elite,DE,Frankfurt am Main,27,52.6,true,53.8,52.6,reviving
3.122.224.70,57510,http|socks4|socks5,anonymous,DE,Frankfurt am Main,27,73.2,true,58.3,73.2,reviving
47.91.65.23,3128,http|https,transparent,DE,Frankfurt am Main,27,98.6,true,100.0,97.7,stable
13.38.72.189,8001,https|socks4|socks5,elite,FR,Paris,28,76.5,true,69.2,76.5,reviving
15.188.238.238,1981,https|socks4|socks5,elite,FR,Paris,28,100.0,true,100.0,100.0,new
35.180.138.2,12737,http|socks4|socks5,anonymous,FR,Paris,31,81.8,true,76.9,81.8,reviving
63.180.203.233,8447,http|https|socks4|socks5,anonymous,DE,Frankfurt am Main,31,69.6,true,61.5,69.6,reviving
13.38.72.189,29726,https|socks4|socks5,elite,FR,Paris,32,82.2,true,61.5,80.6,reviving
13.38.72.189,58820,https|socks4|socks5,elite,FR,Paris,32,74.0,true,69.2,74.0,reviving
35.181.173.200,58430,https|socks4|socks5,elite,FR,Paris,32,84.6,true,85.7,84.6,reviving
51.34.24.52,2055,socks4|socks5,elite,CH,Zurich,32,83.3,true,84.6,83.3,reviving
63.181.83.210,8443,socks5,elite,DE,Frankfurt am Main,32,16.7,true,18.2,16.7,reviving
16.18.37.186,21411,socks4,elite,CH,Zurich,33,14.3,true,33.3,22.1,reviving
51.34.24.52,9368,socks4|socks5,elite,CH,Zurich,33,78.9,true,92.3,78.9,flaky
63.179.134.206,52805,https|socks4,elite,DE,Frankfurt am Main,33,12.7,true,9.1,17.3,reviving
15.188.238.238,16085,socks4|socks5,elite,FR,Paris,34,80.1,true,58.3,80.1,reviving
16.18.22.211,1976,http|https|socks4|socks5,anonymous,CH,Zurich,34,92.3,true,92.3,92.3,flaky
35.180.138.2,3979,socks4|socks5,elite,FR,Paris,34,80.2,true,71.4,80.2,flaky
13.36.211.95,17167,https|socks4|socks5,elite,FR,Paris,35,81.0,true,76.9,81.2,reviving
13.36.211.95,23668,https|socks4|socks5,elite,FR,Paris,35,75.1,true,76.9,75.1,reviving
13.36.211.95,32022,https|socks4|socks5,elite,FR,Paris,35,68.3,true,84.6,68.3,reviving
13.36.211.95,45944,https|socks4|socks5,elite,FR,Paris,35,74.4,true,76.9,74.4,flaky
16.18.32.153,6042,socks4|socks5,elite,CH,Zurich,35,85.1,true,85.7,85.1,reviving
18.185.116.137,32096,socks4|socks5,elite,DE,Frankfurt am Main,35,100.0,true,100.0,100.0,new
35.181.173.200,7726,http|https|socks4|socks5,,FR,Paris,35,81.3,true,84.6,81.3,reviving
63.179.134.206,1088,socks4|socks5,elite,DE,Frankfurt am Main,35,12.8,true,41.7,18.5,reviving
13.36.211.95,4145,https|socks4,elite,FR,Paris,36,82.4,true,69.2,81.9,reviving
13.36.211.95,9898,https|socks4|socks5,elite,FR,Paris,37,72.2,true,69.2,72.2,reviving
3.127.27.51,38202,https|socks4|socks5,elite,DE,Frankfurt am Main,37,12.2,true,46.2,17.5,reviving
